scene,role,emotion,content
2-1,旁白,,一秒。
2-1,旁白,,三秒。
2-1,旁白,,五秒。
2-2,围观群众,,（放肆大笑，△ 互相推搡着指点）哈哈哈哈！连碑都懒得理你，彻头彻尾的废物！
2-2,围观群众,,（笑声翻天）我去，搞笑的吧！
2-2,围观群众,,废物就是废物啊！连当炮灰的资格都没有！！
2-2,围观群众,,"强化系本来就是最差的，他连最差的都只有""伪""的！！"
2-3,林傲天,,（讥讽，△ 居高临下伸手）啧啧啧……真是脏了这块碑。林婉儿，给我过来吧——！
2-3,林天,,（猛地扑上来，怒吼）滚开！！！
2-4,林婉儿,,（尖叫）哥！！！
2-4,林傲天,,（俯视，△ 慢条斯理地拍了拍被林天打过的金甲部位）我说，你这个废物怎么这么执着啊？
2-5,林傲天,,（笑）你知道你像什么吗？像条死狗，哈哈哈！！！
2-5,林傲天,,（低语）来，看看你哥现在的样子！！
2-5,林傲天,,"（嗤笑，△ 眼神充满高维碾压）啧啧！！好好笑啊，林家的""天才""？屁都不是。"
2-5,林婉儿,,（哭着拼命挣扎，△ 手腕被攥出红印）放开我，你放开！！
2-5,林傲天,,（大声）你们知道吗？这家伙的爹，当年多风光啊，结果呢？跑了，缩头乌龟一个，现在连儿子也成了废物。
2-5,林傲天,,"（嗤笑，低声）告诉你，等你死了，我一定会好好""照顾""你妹妹，让她亲自求我，哈哈哈哈……"
2-6,林天,,（低哑，△ 额头青筋暴起）……我不是死了吗？我这是在哪？
2-6,林天,,（低哑，△ 眼神从涣散逐渐聚焦，透出一丝前世兵王的杀气）呼……我穿越重生了吗？
