scene,role,emotion,content
1-1,旁白,,灾变降临，灵力复苏，旧世界文明断层。人类退守七大联邦，用巨大能量屏障封住城市。自此——墙内与墙外，彻底割裂。
1-1,字幕,,华夏联邦 · 林家
1-2,围观少年 A,,（交头接耳，嘲讽，△ 视线越过肩膀斜眼看向角落，权力高位俯视）听说了吗？林天今天要上台测灵纹。
1-2,围观少年 B,,（不屑，△ 嗤笑出声）他？那个废物不是早认输了吗？还敢来丢人？
1-2,林婉儿,,（哭腔，△ 紧紧攥住衣角）哥，我们走吧……
1-3,旁白,,"他的父亲，林战，曾经的家族英雄。自从留下了那件""禁忌遗物""后——便失踪了。"
1-4,旁白,,"家族权力洗牌，林啸上位。他和妹妹，沦为众人眼里""白吃资源的废物""。"
1-5,旁白,,"三天前，林啸传命——""林婉儿到婚龄了，嫁给我儿林傲天。"""
1-6,林啸,,（冷漠，△ 慢条斯理地转动着拇指上的玉扳指，支点动作：绝对掌控）除非，你能在这场族中测试中，证明你还有价值。
1-6,旁白,,他清楚——这根本不是婚约，是抢人。他们看中的，不是妹妹，是她身上那跟禁忌遗物一模一样的银色纹路。
1-7,林傲天,,（冷笑，△ 居高临下）哟，林天。躲这么久，今天终于露头了？
1-7,围观少年 C,,（小声）林傲天，天赋异禀，十八岁就聚灵境了，林家年轻一代的第一天才。
1-7,围观少年 D,,（不屑）林天那废物？十年还卡在练体境，早废了。
1-7,林傲天,,（居高临下，△ 视线死死盯住林天形成心理屏障，手指巨碑）这次测试，灵纹若不到 A 级，你就滚出林家——把婉儿留下。
1-7,围观群众,,（起哄，△ 快切小格密排）A 级灵纹？别做梦了！
1-7,围观群众,,他十年才练体二重，连个像样的气息都没有！
1-7,围观群众,,他能激起碑石反应就谢天谢地了！哈哈哈！
1-8,执事长老,,（挥手，严肃）好了。今日测试，正式开始！
1-8,执事长老,,林傲天，先来。
1-8,林傲天,,（冷哼，自信迈步上前）
1-8,围观群众,,（沸腾，△ 脸部被蓝紫色的雷光映照出席强烈的明暗对比，光源绑定互动）天啊——A 级雷霆灵纹！！
1-8,围观群众,,不愧是家族年轻一代第一人！
1-8,围观群众,,元素系公认的最强之一啊！
1-8,林傲天,,（傲然，△ 眼神中满是高维碾压的轻蔑）看见没——这才叫天才。你，根本不配站在我面前。
1-9,围观群众,,动物系不错啊，奔袭速度一流，战场斥候必备。
1-9,围观群众,,（拍肩膀）别傻了，治疗系才是部队的宝贝疙瘩啊！
1-9,围观群众,,（笑）哈哈，肉盾来了！强化系是公认的最差嘛！
1-10,执事长老,,林天，上来吧。
1-10,林婉儿,,（颤抖，△ 手指刚碰到他的衣角）哥，别……
